carrier_code,date,month,day,year,flight_number,tail_number,destination_airport,airline_name
9E,2022-01-02T05:00:00Z,1,2,2022,4778,N200PQ,IAD,Endeavor Air
9E,2022-01-02T05:00:00Z,1,2,2022,4865,N909XJ,ROC,Endeavor Air
9E,2022-01-02T05:00:00Z,1,2,2022,4981,N182GJ,BWI,Endeavor Air
9E,2022-01-02T05:00:00Z,1,2,2022,5020,N326PQ,RIC,Endeavor Air
9E,2022-01-02T05:00:00Z,1,2,2022,5053,N200PQ,PIT,Endeavor Air
9E,2022-01-02T05:00:00Z,1,2,2022,5153,N678CA,SAV,Endeavor Air
9E,2022-01-02T05:00:00Z,1,2,2022,5241,N678CA,CHS,Endeavor Air
AA,2022-01-02T05:00:00Z,1,2,2022,2234,N317PG,DFW,American Airlines
AA,2022-01-02T05:00:00Z,1,2,2022,2369,N947NN,PHX,American Airlines
AA,2022-01-02T05:00:00Z,1,2,2022,2819,N303RE,ORD,American Airlines
B6,2022-01-02T05:00:00Z,1,2,2022,0102,N292JB,BUF,JetBlue Airways
B6,2022-01-02T05:00:00Z,1,2,2022,0234,N228JB,BTV,JetBlue Airways
